Estoy trabajando en,Dónde estás trabajando,Tipo de contrato,Salario mensual o retiro BRUTO (en tu moneda local),Salario mensual o retiro NETO (en tu moneda local),Pagos en dólares,¿Cuál fue el último valor de dólar que tomaron?,¿Qué tan conforme estás con tu sueldo?,Cómo creés que está tu sueldo con respecto al último semestre,Recibís algún tipo de bono,A qué está atado el bono,¿Tuviste ajustes por inflación durante 2020?,¿De qué % fue el ajuste total?,¿En qué mes fue el último ajuste?,Trabajo de,Años de experiencia,Años en la empresa actual,Años en el puesto actual,¿Gente a cargo?,Plataformas,Lenguajes de programación o tecnologías.,"Frameworks, herramientas y librerías",Bases de datos,QA / Testing,IDEs,Cantidad de personas en tu organización,Actividad principal,¿La recomendás como un buen lugar para trabajar?,¿Cómo calificás las políticas de diversidad e inclusión?,Beneficios extra,¿Salir o seguir contestando?,Nivel de estudios alcanzado,Estado,Carrera,Universidad,Realizaste cursos de especialización,¿Contribuís a proyectos open source?,¿Programás como hobbie?,¿Salir o seguir contestando?,¿Tenés guardias?,Cuánto cobrás por guardia,"¿Porcentaje, bruto o neto?",¿Salir o seguir contestando?,¿Sufriste o presenciaste situaciones de violencia laboral?,Identidad sexual,¿Tenés algún tipo de discapacidad?,¿Sentís que esto te dificultó el conseguir trabajo?,¿Salir o seguir contestando?,¿Cómo venís llevando la cuarentena?,¿Tenés hijos/as menores de edad?,¿Con cuántas personas estás conviviendo?,¿Con quiénes convivís?,¿Tenés un espacio dedicado para el trabajo?,¿Tenés que compartir tu equipo de trabajo con alguien?,¿Qué tipo de cuarentena hiciste / estás haciendo?,¿Cambió tu situación laboral a raíz de la pandemia?,¿Qué tanto sentís que te está apoyando tu empresa/organización en esta situación?,¿Cómo se vio afectada tu empresa/organización?,¿Instauraron algún beneficio nuevo?,Tengo,Me identifico
Argentina,Córdoba,Full-Time,115000,90000,,,3,2,No,No recibo bono,Tres,35,10,DBA,13,2,2,0,"AIX, Docker",SQL,Ninguno de los anteriores,"Microsoft SQL Server, Oracle",Ninguna de las anteriores,"Vi, SQL Developer",101-200,Servicios / Consultoría de Software / Digital,7,5,"Capacitaciones y/o cursos, Vacaciones flexibles (adicionales a las reglamentarias)",Quiero responder más preguntas,Universitario,Incompleto,Licenciatura en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular, Sí, los pagó un empleador",No,Sí,Quiero responder más preguntas,"Sí, pasiva",4000,Bruto,Quiero responder más preguntas,Jamás,Heterosexual,,,Quiero responder más preguntas,4,0,1,Pareja,Sí,No,4,No,8,"No la afectó, Se vio beneficiada",Ninguna de las anteriores,36,Varón Cis
Argentina,Córdoba,Remoto (empresa de otro país),512000,512000,Mi sueldo está dolarizado (pero cobro en moneda local),80,4,4,No,No recibo bono,No,0,0,Data Engineer,6,4,0,0,"Amazon Web Services, Docker, Kubernetes, Linux, Serverless","Groovy, Java, Python","Flask, Spark, Torch","Amazon DynamoDB, Apache HBase, Amazon RDS/Aurora, ElasticSearch, PostgreSQL, Redis","JUnit, Selenium",Visual Studio Code,201-500,Producto basado en Software,10,8,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",Ya colaboré lo suficiente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,148000,109000,,,3,3,No,No recibo bono,Dos,25,11,Developer,15,13,11,0,Ninguna de las anteriores,".NET, C#, CSS, HTML, Javascript, SQL, VBA",".NET Core, Bootstrap, jQuery","Microsoft SQL Server, Oracle",SoapUI,"Notepad++, Visual Studio, Visual Studio Code",11-50,Producto basado en Software,5,4,Ninguna de las anteriores,Ya colaboré lo suficiente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,115620,,,,4,3,No,No recibo bono,Tres,30,11,Developer,4,3,3,0,Firebase,"CSS, HTML, Java, Javascript, TypeScript","React.js, Capacitor",Ninguna de las anteriores,Ninguna de las anteriores,"Android Studio, Eclipse, Visual Studio Code",51-100,Servicios / Consultoría de Software / Digital,8,8,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas",Ya colaboré lo suficiente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,47300,39259,,,3,3,No,No recibo bono,Uno,10,11,Developer,0,0,0,0,Linux,Python,Ninguno de los anteriores,MongoDB,Ninguna de las anteriores,PyCharm,51-100,Producto basado en Software,10,10,"Capacitaciones y/o cursos, Horarios flexibles",Quiero responder más preguntas,Universitario,En curso,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular",No,Sí,Quiero responder más preguntas,No,0,Bruto,Quiero responder más preguntas,Jamás,Heterosexual,,,Quiero responder más preguntas,4,0,0,Vivo solo/a,Sí,No,3,"Cambié de trabajo, pero no por la pandemia",8,Se vio beneficiada,Ninguna de las anteriores,24,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,100000,91713,,,1,2,Un sueldo,Performance individual,Dos,56,10,Technical Leader,5,5,2,5,AIX,Java,"Bootstrap, jQuery, Spring",Ninguna de las anteriores,"JUnit, Selenium","Eclipse, Visual Studio Code",51-100,Servicios / Consultoría de Software / Digital,6,8,"Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas",Quiero responder más preguntas,Universitario,Incompleto,Licenciatura en Ciencias de la Computación,UBA - Universidad de Buenos Aires,"Sí, de forma particular, Sí, los pagó un empleador",No,No,Quiero responder más preguntas,No,0,Bruto,Quiero responder más preguntas,Jamás,Heterosexual,,Sí,Quiero responder más preguntas,4,0,1,Pareja,Sí,No,4,No,3,"No la afectó, Se vio beneficiada",Ninguna de las anteriores,29,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,214600,137700,,,2,2,Un sueldo,Mix de las anteriores,Dos,24,11,Developer,10,2,2,0,OpenShift,".NET, C#, Java, Javascript",".NET Core, Angular, Hibernate, React.js, Spring","IBM Db2, Oracle",JUnit,"Eclipse, IntelliJ, Notepad++, Vi, Visual Studio, Visual Studio Code",5001-10000,Servicios / Consultoría de Software / Digital,6,8,"Abono de Internet, Descuento en gimnasios / Clases de gimnasia online, Vacaciones flexibles (adicionales a las reglamentarias)",Quiero responder más preguntas,Universitario,Completado,Analista de Sistemas,UCEMA,No,No,No,Quiero responder más preguntas,No,0,Bruto,Quiero responder más preguntas,En un trabajo anterior,Heterosexual,,,Quiero responder más preguntas,2,0,0,Vivo solo/a,Sí,No,3,Decidí buscar otro trabajo,6,"Cerró oficinas, No la afectó",Pago de abono de Internet,35,Varón Cis
Argentina,Mendoza,Full-Time,45000,38500,,,2,3,No,No recibo bono,Dos,5,10,Developer,0,0,0,0,Ninguna de las anteriores,Ruby,Rails,PostgreSQL,Ninguna de las anteriores,Visual Studio Code,11-50,Producto basado en Software,7,9,Abono de Internet,Quiero responder más preguntas,Universitario,Completado,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular",No,No,Quiero responder más preguntas,No,0,Porcentaje de mi sueldo,Quiero responder más preguntas,Jamás,Heterosexual,Visual,No,Quiero responder más preguntas,4,0,1,Amigos/as / Roomates,Sí,No,3,No,9,No la afectó,Ninguna de las anteriores,25,Varón Cis
Argentina,Santa Fe,Full-Time,150000,110000,,,3,3,De uno a tres sueldos,Mix de las anteriores,Dos,52,11,Developer,3,1,1,0,"Azure, Docker, Windows Server",".NET, C#, Erlang, HTML, Javascript, SQL",".NET Core, Angular, Bootstrap, Hibernate","Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server, Oracle","Postman, Visual Studio Coded UI","Sublime Text, Visual Studio, Visual Studio Code",501-1000,Producto basado en Software,7,7,"Abono de Internet, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles",Quiero responder más preguntas,Universitario,En curso,Licenciatura en Ciencias de la Computación,UNR - Universidad Nacional de Rosario,"Sí, de forma particular",No,Sí,Ya colaboré lo suficiente,,,,,,,,,,,,,,,,,,,,,29,Prefiero no decir
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,272000,150000,,,3,4,3+ sueldos,Performance de la compañía,Dos,30,7,Technical Leader,13,8,3,9,"Amazon Web Services, Docker, Kubernetes, Linux, Serverless","Bash/Shell, CSS, HTML, Javascript, SQL","Node.js, React.js, Sequealize + knex","PostgreSQL, Redis","Cypress, Jest, Mocha, Postman",Visual Studio Code,51-100,Servicios / Consultoría de Software / Digital,10,8,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Estacionamiento gratuito / subvencionado, Horarios flexibles, Licencia de paternidad / maternidad extendida, Vacaciones flexibles (adicionales a las reglamentarias)",Quiero responder más preguntas,Universitario,Completado,Ingeniería en Sistemas de Información,UTN - Universidad Tecnológica Nacional,"Sí, de forma particular, Sí, los pagó un empleador",No,No,Quiero responder más preguntas,No,0,Bruto,Quiero responder más preguntas,En mi trabajo actual,Heterosexual,,,Quiero responder más preguntas,2,0,1,Pareja,Sí,No,3,No,10,Frenaron las contrataciones,"Compra de accesorios (escritorio, monitor, teclado, mouse, etc), Días libres extras, Tiempo pago por tareas de cuidado",33,Mujer Cis
Argentina,Santa Fe,Part-Time,32000,28000,Cobro en dólares,78,3,2,No,No recibo bono,No,0,0,Developer,0,0,0,0,"Amazon Web Services, Serverless",Javascript,"Node.js, React.js",Amazon DynamoDB,Jest,Visual Studio Code,11-50,Producto basado en Software,8,9,Ninguna de las anteriores,Ya colaboré lo suficiente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,Varón Cis
Argentina,Provincia de Buenos Aires,Full-Time,45000,,,,3,3,No,No recibo bono,No,0,0,Developer,0,0,0,0,Ninguna de las anteriores,"CSS, HTML, Javascript, TypeScript","Laravel, React.js, Vue.js",Ninguna de las anteriores,Jest,Visual Studio Code,1-10,Producto basado en Software,10,10,"Abono de Internet, Capacitaciones y/o cursos, Horarios flexibles",Quiero responder más preguntas,Secundario,Completado,,,"Sí, de forma particular",No,No,Quiero responder más preguntas,No,0,Bruto,Quiero responder más preguntas,En un trabajo anterior,Asexual,,,Ya colaboré lo suficiente,,,,,,,,,,,,28,Mujer Cis
Argentina,Río Negro,Full-Time,90000,71000,,,3,1,No,No recibo bono,Dos,15,10,SysAdmin / DevOps / SRE,5,2,2,0,"Docker, Linux, Mainframe","Bash/Shell, Python",Ninguno de los anteriores,MySQL,Ninguna de las anteriores,Visual Studio Code,201-500,Servicios / Consultoría de Software / Digital,5,5,Ninguna de las anteriores,Ya colaboré lo suficiente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,Masculino
Argentina,Córdoba,Full-Time,52000,,,,2,1,No,No recibo bono,Uno,15,8,Developer,3,3,3,0,Linux,"CSS, HTML, TypeScript, PL/SQL","Angular, Node.js",Oracle,Ninguna de las anteriores,IntelliJ,1-10,Servicios / Consultoría de Software / Digital,9,8,"Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",Ya colaboré lo suficiente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,98000,95000,,,2,2,No,No recibo bono,No,0,0,DBA,20,13,3,0,"AIX, Linux","Bash/Shell, Perl, SQL",Ninguno de los anteriores,"IBM Db2, Oracle",Ninguna de las anteriores,"Vi, Vim",5001-10000,Servicios / Consultoría de Software / Digital,8,10,"Capacitaciones y/o cursos, Horarios flexibles, Licencia de paternidad / maternidad extendida, Sueldo divido en dos pagos por mes",Ya colaboré lo suficiente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,Prefiero no decir
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,110000,91000,,,3,2,No,No recibo bono,Dos,17,8,QA / Tester,3,0,3,0,Ninguna de las anteriores,Python,Ninguno de los anteriores,"MySQL, PostgreSQL","Postman, Selenium","PyCharm, Visual Studio Code",201-500,Producto basado en Software,8,5,Horarios flexibles,Quiero responder más preguntas,Secundario,Completado,,,"Sí, de forma particular",No,Sí,Quiero responder más preguntas,No,0,Porcentaje de mi sueldo,Quiero responder más preguntas,En un trabajo anterior,Heterosexual,,,Quiero responder más preguntas,2,0,1,Familia de origen (madre/padre/hermanos/as),No,No,3,No,6,Se vio beneficiada,"Clases de meditación, Clases de yoga",25,Mujer Cis
Argentina,Córdoba,Full-Time,30000,27500,,,1,1,No,No recibo bono,No,0,0,Developer,1,1,1,0,Ninguna de las anteriores,"HTML, Javascript, PHP","React.js, Magento",MySQL,Ninguna de las anteriores,"PHPStorm, Visual Studio Code",1-10,Servicios / Consultoría de Software / Digital,7,1,Horarios flexibles,Quiero responder más preguntas,Universitario,En curso,Licenciatura en Administración,UNC - Universidad Nacional de Córdoba,No,Sí,Sí,Quiero responder más preguntas,No,0,Porcentaje de mi sueldo,Quiero responder más preguntas,Jamás,Heterosexual,,No,Quiero responder más preguntas,3,0,5,Familia de origen (madre/padre/hermanos/as),No,No,3,No,5,No la afectó,Ninguna de las anteriores,29,Varón Cis
Argentina,GBA,Part-Time,22000,18800,,,2,2,No,No recibo bono,No,0,0,Consultant,0,0,0,0,Linux,"Java, SQL",Ninguno de los anteriores,"MySQL, PostgreSQL",JUnit,"IntelliJ, Vim",11-50,Servicios / Consultoría de Software / Digital,6,1,Horarios flexibles,Quiero responder más preguntas,Universitario,En curso,Ingeniería en Computación,UNLP - Universidad Nacional de La Plata,"Sí, de forma particular",No,Sí,Quiero responder más preguntas,No,0,Bruto,Quiero responder más preguntas,Jamás,Bisexual,Visual,No,Quiero responder más preguntas,3,0,1,Pareja,Sí,No,3,Conseguí mí primer trabajo,6,No la afectó,Ninguna de las anteriores,22,Varón Cis
Argentina,Santa Fe,Full-Time,73000,54000,,,1,1,No,No recibo bono,No,0,0,Sector IT,20,8,8,0,"Linux, Windows Server","SQL, VBA",Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,Ninguno de los anteriores,201-500,Otras industrias,6,5,Ninguna de las anteriores,Ya colaboré lo suficiente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,Varón Cis
Argentina,Ciudad Autónoma de Buenos Aires,Full-Time,87000,70000,,,2,1,No,Performance de la compañía,Uno,7,9,Developer,10,10,3,0,Windows Server,".NET, C#, HTML, Javascript, SQL","Bootstrap, jQuery",Microsoft SQL Server,Ninguna de las anteriores,"Visual Studio, Visual Studio Code",51-100,Producto basado en Software,5,5,Ninguna de las anteriores,Ya colaboré lo suficiente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,Varón Cis
Colombia,,Full-Time,4200000,3800000,,,3,3,De uno a tres sueldos,Permanencia,No,0,0,Technical Leader,9,9,4,5,Ninguna de las anteriores,".NET, C#, CSS, HTML, Javascript",".NET Core, Cordova, Node.js",Microsoft SQL Server,Jest,"Android Studio, Visual Studio Code, Xcode",11-50,Servicios / Consultoría de Software / Digital,8,8,"Descuento en gimnasios / Clases de gimnasia online, Horarios flexibles, Sueldo divido en dos pagos por mes",Quiero responder más preguntas,Universitario,Completado,Ingeniería en Sistemas de Información,ITM - Instituto Tecnológico Metropolitano,No,Sí,Sí,Quiero responder más preguntas,No,0,Porcentaje de mi sueldo,Quiero responder más preguntas,En un trabajo anterior,Heterosexual,,,Ya colaboré lo suficiente,,,,,,,,,,,,41,Varón Cis
Argentina,GBA,Full-Time,103.876,82.073,,,3,3,No,No recibo bono,Dos,14,10,Developer,3,1,3,0,Docker,"CSS, HTML, Javascript","React.js, Ninguno de los anteriores",Ninguna de las anteriores,Ninguna de las anteriores,Visual Studio Code,201-500,Servicios / Consultoría de Software / Digital,5,6,"Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",Quiero responder más preguntas,Secundario,Completado,,,"Sí, de forma particular, Sí, los pagó un empleador",No,No,Quiero responder más preguntas,No,0,Neto,Quiero responder más preguntas,En mi trabajo actual,Bisexual,,,Quiero responder más preguntas,3,0,1,Familia de origen (madre/padre/hermanos/as),No,No,2,"Cambié de trabajo, pero no por la pandemia",7,No la afectó,Clases de yoga,23,Mujer Cis
Argentina,Mendoza,Part-Time,34000,30000,,,3,2,No,No recibo bono,Tres,15,12,Developer,0,0,0,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,MySQL,Ninguna de las anteriores,Visual Studio Code,101-200,Producto basado en Software,7,7,"Abono de Internet, Capacitaciones y/o cursos, Descuento en gimnasios / Clases de gimnasia online, Clases de idiomas, Horarios flexibles, Vacaciones flexibles (adicionales a las reglamentarias)",Ya colaboré lo suficiente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,Varón Cis
